date,year,month,quarter,day
1/1/1997,1997,January,quarter 1,Wednesday
1/2/1997,1997,January,quarter 1,Thursday
1/3/1997,1997,January,quarter 1,Friday
1/4/1997,1997,January,quarter 1,Saturday
1/5/1997,1997,January,quarter 1,Sunday
1/6/1997,1997,January,quarter 1,Monday
1/7/1997,1997,January,quarter 1,Tuesday
1/8/1997,1997,January,quarter 1,Wednesday
1/9/1997,1997,January,quarter 1,Thursday
1/10/1997,1997,January,quarter 1,Friday
1/11/1997,1997,January,quarter 1,Saturday
1/12/1997,1997,January,quarter 1,Sunday
1/13/1997,1997,January,quarter 1,Monday
1/14/1997,1997,January,quarter 1,Tuesday
1/15/1997,1997,January,quarter 1,Wednesday
1/16/1997,1997,January,quarter 1,Thursday
1/17/1997,1997,January,quarter 1,Friday
1/18/1997,1997,January,quarter 1,Saturday
1/19/1997,1997,January,quarter 1,Sunday
1/20/1997,1997,January,quarter 1,Monday
1/21/1997,1997,January,quarter 1,Tuesday
1/22/1997,1997,January,quarter 1,Wednesday
1/23/1997,1997,January,quarter 1,Thursday
1/24/1997,1997,January,quarter 1,Friday
1/25/1997,1997,January,quarter 1,Saturday
1/26/1997,1997,January,quarter 1,Sunday
1/27/1997,1997,January,quarter 1,Monday
1/28/1997,1997,January,quarter 1,Tuesday
1/29/1997,1997,January,quarter 1,Wednesday
1/30/1997,1997,January,quarter 1,Thursday
1/31/1997,1997,January,quarter 1,Friday
2/1/1997,1997,February,quarter 1,Saturday
2/2/1997,1997,February,quarter 1,Sunday
2/3/1997,1997,February,quarter 1,Monday
2/4/1997,1997,February,quarter 1,Tuesday
2/5/1997,1997,February,quarter 1,Wednesday
2/6/1997,1997,February,quarter 1,Thursday
2/7/1997,1997,February,quarter 1,Friday
2/8/1997,1997,February,quarter 1,Saturday
2/9/1997,1997,February,quarter 1,Sunday
